centroid_x,centroid_y,area,mean_red_intensity,aspect_ratio,cluster
65.6,81.0923076923077,65.0,240.06153846153848,0.46153846153846156,2
53.17142857142857,81.65714285714286,35.0,231.2,0.75,0
27.442253521126762,120.23098591549295,355.0,239.29577464788733,2.2666666666666666,0
113.15648854961832,11.396946564885496,262.0,243.9885496183206,0.9444444444444444,2
49.09090909090909,19.935064935064936,77.0,238.12987012987014,0.9090909090909091,2
33.69879518072289,20.63855421686747,83.0,233.6987951807229,1.5555555555555556,2
21.851063829787233,22.106382978723403,47.0,235.08510638297872,0.7777777777777778,2
15.392857142857142,41.56547619047619,336.0,243.16369047619048,0.7096774193548387,2
48.76470588235294,77.70588235294117,17.0,224.35294117647058,0.6666666666666666,0
54.285714285714285,81.71428571428571,7.0,211.0,0.75,0
67.5,84.0,32.0,234.21875,0.4444444444444444,2
124.18439716312056,96.34042553191489,141.0,241.12056737588654,0.15151515151515152,1
90.66666666666667,115.71428571428571,21.0,231.33333333333334,0.5714285714285714,1
26.94,119.28,50.0,237.2,0.7,0
73.6,121.15,20.0,211.1,1.2,1
83.26530612244898,121.73469387755102,49.0,234.24489795918367,1.0,1
16.229571984435797,71.01945525291829,257.0,242.2101167315175,1.3125,0
46.34285714285714,80.05714285714286,35.0,226.68571428571428,0.8571428571428571,0
61.04347826086956,80.66304347826087,92.0,232.42391304347825,1.6666666666666667,2
21.074074074074073,120.4074074074074,27.0,229.59259259259258,0.8333333333333334,0
30.0,120.33333333333333,12.0,212.25,2.0,0
37.588235294117645,121.0,34.0,226.88235294117646,0.8571428571428571,0
63.961354581673305,9.919521912350598,2510.0,203.9988047808765,6.095238095238095,2
9.917378917378917,65.42735042735043,351.0,203.93447293447292,0.32857142857142857,0
25.56,26.44,25.0,203.92,0.6666666666666666,2
18.044838373305527,56.42335766423358,959.0,247.73305526590198,0.30158730158730157,0
83.85714285714286,39.857142857142854,7.0,203.42857142857142,1.6666666666666667,2
97.55555555555556,42.333333333333336,9.0,201.33333333333334,0.3333333333333333,2
50.0,42.5,2.0,203.0,0.5,2
56.91428571428571,45.42857142857143,35.0,203.17142857142858,0.875,2
63.6,45.8,15.0,203.73333333333332,0.5,2
66.0,42.5,2.0,202.5,0.5,2
50.0,47.0,7.0,204.0,1.0,2
97.0,47.5,2.0,201.0,0.5,2
85.33333333333333,52.083333333333336,12.0,201.91666666666666,0.25,2
39.88235294117647,55.588235294117645,17.0,203.64705882352942,0.375,2
46.53658536585366,54.90243902439025,41.0,203.609756097561,1.125,2
53.5,52.5,4.0,203.0,1.0,2
56.888888888888886,54.22222222222222,9.0,203.44444444444446,0.5,2
62.68421052631579,55.473684210526315,19.0,203.6315789473684,0.5,2
69.53658536585365,55.48780487804878,41.0,203.65853658536585,1.125,2
53.5,55.0,2.0,204.0,2.0,2
53.5,58.5,4.0,204.0,1.0,2
58.0,59.0,1.0,204.0,1.0,2
85.0,58.0,1.0,202.0,1.0,2
44.25,66.25,4.0,202.25,0.6666666666666666,2
70.0,65.0,1.0,203.0,1.0,2
47.0,66.5,2.0,202.5,0.5,2
49.0,67.0,1.0,203.0,1.0,2
52.0,67.0,1.0,203.0,1.0,2
55.0,66.0,1.0,201.0,1.0,2
57.0,66.0,1.0,204.0,1.0,2
59.0,67.0,1.0,202.0,1.0,2
68.0,67.0,1.0,203.0,1.0,2
70.0,67.0,1.0,202.0,1.0,2
110.0,72.5,2.0,201.5,0.5,1
98.0,77.0,3.0,201.33333333333334,0.3333333333333333,1
65.0,79.0,1.0,202.0,1.0,2
62.69012875536481,101.03004291845494,1165.0,203.99484978540772,10.636363636363637,0
127.0,119.5,12.0,252.0,0.08333333333333333,1
33.0,117.0,1.0,201.0,1.0,0
13.5,119.5,2.0,202.0,1.0,0
19.0,118.0,1.0,203.0,1.0,0
92.0,118.0,1.0,202.0,1.0,1
94.0,118.0,1.0,203.0,1.0,1
97.0,119.33333333333333,3.0,202.33333333333334,1.5,1
17.0,120.0,1.0,202.0,1.0,0
9.0,123.0,3.0,204.0,0.3333333333333333,0
11.75,123.25,4.0,202.75,0.6666666666666666,0
15.5,123.5,2.0,203.0,1.0,0
20.0,123.5,2.0,202.5,0.5,0
28.0,122.5,2.0,202.0,0.5,0
88.75,123.25,4.0,203.0,0.6666666666666666,1
95.0,123.5,2.0,201.5,0.5,1
97.0,123.5,2.0,202.5,0.5,1
99.0,122.0,1.0,203.0,1.0,1
101.0,122.0,1.0,203.0,1.0,1
18.0,124.0,1.0,203.0,1.0,0
22.5,124.0,2.0,203.0,2.0,0
93.0,124.0,1.0,203.0,1.0,1
99.5,124.0,2.0,203.0,2.0,1
127.0,127.0,1.0,252.0,1.0,1
63.64954563413671,10.015408929276965,2531.0,204.00829711576452,6.095238095238095,2
16.414634146341463,58.033715925394546,1394.0,229.32855093256816,0.36231884057971014,0
83.5,40.25,4.0,203.0,1.3333333333333333,2
97.42857142857143,42.285714285714285,7.0,201.57142857142858,0.3333333333333333,2
50.0,42.5,2.0,204.0,0.5,2
54.22222222222222,44.666666666666664,9.0,204.0,0.2857142857142857,2
57.90909090909091,45.13636363636363,22.0,203.04545454545453,0.7142857142857143,2
63.6,45.4,15.0,203.66666666666666,0.5714285714285714,2
66.0,42.0,1.0,204.0,1.0,2
50.0,47.0,7.0,204.0,1.0,2
85.5,53.5,18.0,201.72222222222223,0.2,2
97.0,49.0,1.0,201.0,1.0,2
110.0,49.0,1.0,202.0,1.0,2
110.0,51.5,2.0,201.5,0.5,2
39.86666666666667,54.8,15.0,204.0,0.42857142857142855,2
